stevilo_mrtvih,potniki
16,16(0)
14,14(0)
22,26(0)
23,23(0)
22,22(0)
3,3(0)
15,15(0)
14,24(0)
31,31(0)
7,7(0)
13,13(0)
25,25(0)
22,22(0)
27,27(0)
53,81(0)
33,33(0)
18,18(0)
35,48(0)
45,45(0)
0,0(14)
2,32(4)
13,14(0)
16,16(0)
5,36(0)
5,30(0)
34,34(0)
12,12(0)
32,32(0)
8,58(0)
24,32(0)
21,21(0)
5,20(0)
23,23(0)
24,24(0)
5,27(0)
4,4(0)
48,48(0)
55,55(0)
3,3(0)
1,2(14)
34,35(0)
12,12(0)
28,46(0)
5,38(0)
20,22(0)
9,9(0)
38,38(0)
17,40(0)
6,23(0)
26,26(0)
17,17(0)
8,8(0)
7,7(0)
19,19(0)
16,16(0)
32,32(0)
14,14(0)
4,4(0)
44,44(0)
7,7(0)
5,5(0)
13,13(2)
4,4(0)
80,83(0)
15,15(0)
12,12(0)
3,3(0)
0,32(0)
25,25(0)
35,35(0)
15,15(0)
16,16(0)
39,39(0)
25,26(0)
1,2(0)
13,15(0)
28,65(0)
15,15(0)
46,52(0)
40,53(0)
58,58(0)
29,29(0)
23,23(0)
22,29(0)
22,22(0)
9,9(0)
25,26(0)
50,50(0)
26,26(0)
10,?(?)
25,25(0)
12,20(7)
1,59(0)
12,12(0)
55,55(0)
16,23(0)
8,8(0)
26,26(0)
10,11(0)
10,10(0)
23,51(0)
6,6(0)
4,7(0)
28,29(0)
28,30(0)
48,48(0)
21,21(0)
52,52(0)
2,23(0)
21,21(0)
9,9(0)
3,3(0)
8,8(0)
5,7(0)
46,56(0)
21,21(0)
9,9(3)
1,1(3)
31,31(0)
38,38(0)
2,18(0)
17,18(0)
12,12(0)
10,10(0)
7,28(0)
10,10(0)
14,17(0)
16,?(?)
14,14(0)
20,20(0)
14,14(0)
29,29(0)
2,2(0)
16,25(0)
24,24(0)
29,29(0)
3,14(0)
53,53(0)
12,13(0)
11,24(2)
2,3(0)
26,26(0)
22,22(0)
21,21(0)
16,16(0)
43,43(0)
11,11(0)
23,25(0)
2,32(0)
7,7(0)
10,10(0)
2,19(0)
3,3(0)
40,40(0)
14,14(0)
50,50(0)
10,10(0)
3,3(0)
33,33(0)
7,7(0)
3,3(0)
37,37(0)
3,3(0)
7,7(0)
2,2(0)
5,5(0)
10,10(0)
50,50(0)
13,13(3)
39,39(0)
3,3(0)
22,28(0)
14,14(0)
27,27(0)
8,8(0)
12,12(0)
17,17(0)
23,23(0)
12,12(0)
27,29(0)
1,29(0)
36,36(0)
18,18(0)
23,23(0)
5,5(0)
16,17(0)
6,7(0)
13,21(0)
3,3(0)
3,3(0)
56,56(1)
22,22(0)
20,20(0)
26,40(0)
4,4(0)
28,28(0)
3,3(0)
6,11(0)
23,23(0)
36,43(0)
23,23(7)
15,15(0)
13,13(5)
29,63(4)
31,31(0)
3,16(0)
9,9(0)
8,8(0)
38,38(0)
3,3(0)
15,15(?)
4,4(0)
45,47(0)
17,21(0)
70,70(0)
12,12(0)
10,29(0)
2,2(3)
37,37(0)
4,4(0)
52,69(0)
29,29(0)
50,50(0)
9,9(0)
11,29(0)
17,17(0)
5,22(0)
6,6(0)
1,18(0)
8,8(0)
6,8(?)
11,11(0)
11,13(0)
41,46(0)
1,27(0)
24,24(0)
7,57(0)
18,18(0)
2,4(0)
1,1(29)
46,46(0)
3,3(0)
21,21(0)
14,14(0)
14,28(0)
25,25(0)
16,16(0)
5,6(0)
19,19(0)
44,44(0)
20,20(0)
9,16(0)
52,52(0)
37,38(0)
18,18(0)
37,41(0)
87,115(0)
3,3(0)
9,?(?)
3,5(0)
27,29(0)
2,10(0)
27,35(0)
7,7(0)
40,40(0)
26,26(0)
19,19(0)
39,39(0)
18,18(0)
9,19(0)
29,40(0)
46,46(0)
11,11(0)
2,2(0)
16,16(0)
8,8(0)
23,23(0)
35,35(0)
14,14(0)
13,13(0)
26,?(?)
13,13(0)
4,15(0)
7,25(0)
3,3(0)
30,30(0)
8,10(0)
43,43(0)
10,10(0)
18,18(0)
2,19(0)
19,20(0)
6,7(?)
0,34(2)
20,20(0)
18,18(0)
7,7(0)
9,17(0)
34,34(0)
17,17(0)
129,129(0)
58,58(0)
44,46(0)
21,21(0)
4,42(0)
1,25(0)
19,23(0)
2,2(0)
42,42(0)
21,21(0)
3,3(0)
1,2(0)
28,28(0)
5,21(0)
25,41(0)
44,44(0)
2,7(0)
2,27(0)
21,21(0)
22,32(?)
19,19(0)
15,16(0)
28,28(0)
10,10(0)
23,33(0)
13,14(0)
2,2(0)
6,6(?)
11,16(8)
1,44(0)
9,15(0)
21,21(0)
4,10(0)
16,17(0)
35,35(0)
21,21(0)
13,18(0)
1,1(6)
16,16(0)
3,3(0)
35,35(0)
10,16(0)
10,10(0)
3,3(0)
9,9(0)
20,20(0)
?,?(?)
33,40(0)
2,2(0)
18,18(0)
18,18(0)
25,25(0)
4,4(0)
21,21(0)
36,36(1)
16,23(0)
14,14(0)
25,25(0)
5,11(0)
3,28(0)
19,19(0)
1,4(0)
3,3(0)
4,4(0)
3,9(0)
24,24(0)
10,18(0)
2,2(0)
30,30(0)
3,3(0)
47,55(0)
12,19(0)
21,21(0)
26,27(1)
26,27(0)
28,56(0)
6,26(0)
3,4(0)
29,29(0)
21,21(0)
16,16(0)
42,42(0)
3,8(0)
24,24(0)
2,7(0)
29,29(0)
4,4(0)
26,32(0)
2,2(0)
10,28(0)
28,36(0)
17,17(0)
1,2(0)
4,18(0)
22,26(0)
3,3(0)
2,2(0)
2,3(0)
40,40(0)
50,50(0)
52,64(0)
19,19(0)
3,3(0)
2,21(0)
1,3(0)
3,3(0)
19,19(0)
22,36(0)
5,38(0)
6,6(0)
3,12(0)
2,54(0)
14,31(1)
2,2(13)
30,31(0)
1,?(0)
74,74(0)
32,45(0)
128,128(0)
1,35(0)
46,66(0)
4,4(0)
18,18(0)
12,22(0)
15,22(0)
0,18(0)
1,57(0)
5,5(0)
59,59(0)
0,31(0)
3,3(0)
16,16(0)
7,80(0)
2,12(0)
25,25(0)
36,36(0)
34,35(8)
23,23(0)
25,25(0)
14,16(0)
62,62(0)
5,5(0)
3,30(0)
21,21(0)
12,38(0)
1,10(0)
17,33(1)
16,16(0)
2,70(0)
5,6(3)
21,101(0)
22,159(0)
5,5(0)
17,17(0)
18,22(2)
15,15(0)
20,20(2)
24,25(0)
19,19(0)
67,67(0)
40,40(0)
34,34(0)
26,30(0)
3,3(1)
24,24(0)
1,?(0)
34,35(0)
1,3(0)
37,37(0)
2,3(0)
16,16(0)
2,2(3)
9,13(0)
9,9(0)
3,3(0)
14,18(0)
6,?(?)
24,24(0)
4,4(?)
16,16(0)
58,68(0)
1,16(0)
79,79(0)
23,23(0)
8,8(0)
12,12(0)
8,8(0)
12,24(0)
1,35(0)
3,3(0)
3,3(0)
27,27(0)
27,27(0)
2,2(0)
7,7(0)
21,21(0)
3,3(0)
7,10(1)
4,16(0)
15,15(0)
44,44(0)
4,4(0)
43,58(0)
4,4(0)
61,61(0)
3,10(0)
2,12(0)
27,27(0)
19,23(0)
4,4(0)
9,50(0)
3,3(0)
11,11(0)
5,73(0)
41,41(1)
23,44(0)
16,16(0)
15,15(0)
1,21(0)
22,22(0)
35,42(0)
8,26(0)
26,26(0)
4,4(0)
20,20(0)
9,24(0)
18,18(0)
3,14(0)
47,47(0)
32,32(0)
16,16(0)
49,49(0)
21,38(2)
3,3(0)
65,69(0)
12,13(0)
4,5(0)
4,4(0)
15,15(0)
1,57(0)
45,45(0)
1,3(0)
24,24(0)
21,26(0)
5,7(0)
15,15(0)
3,3(0)
36,54(0)
10,11(0)
33,33(0)
99,99(0)
25,34(0)
64,64(0)
17,17(0)
19,19(0)
3,3(4)
14,18(0)
27,27(0)
13,16(0)
8,8(0)
15,15(0)
28,28(0)
5,5(0)
19,19(0)
23,23(0)
20,20(0)
80,80(0)
11,29(0)
31,31(0)
17,20(0)
8,8(0)
3,3(0)
36,36(0)
2,2(0)
21,21(0)
21,21(0)
9,12(0)
3,70(0)
21,37(0)
5,5(0)
10,10(0)
36,39(0)
2,2(0)
51,52(0)
25,25(0)
4,4(0)
10,15(0)
2,6(0)
3,28(0)
4,4(0)
65,73(0)
14,24(0)
5,5(0)
15,19(0)
5,7(0)
1,18(0)
9,9(0)
24,24(0)
2,2(0)
26,26(0)
12,12(0)
28,28(0)
5,5(0)
31,31(0)
2,44(0)
12,12(0)
10,10(0)
8,8(0)
60,60(0)
19,19(0)
8,8(0)
14,14(0)
68,68(0)
0,1(17)
32,32(?)
6,6(0)
2,3(0)
5,5(0)
32,32(0)
2,50(0)
2,2(0)
1,16(0)
3,3(0)
20,20(0)
16,16(0)
54,65(0)
34,34(0)
2,2(0)
28,28(0)
1,19(1)
26,27(0)
18,18(0)
5,5(0)
40,40(0)
42,42(0)
24,27(0)
3,3(8)
25,26(0)
45,45(0)
29,29(0)
3,3(0)
2,2(0)
32,32(10)
1,2(0)
11,11(0)
9,9(0)
34,34(0)
10,10(0)
50,50(0)
42,42(0)
37,46(0)
9,9(0)
59,59(0)
61,64(0)
32,33(0)
34,52(0)
6,13(0)
5,40(0)
63,63(0)
25,46(0)
2,18(0)
10,22(0)
18,18(0)
9,9(0)
37,51(0)
4,44(0)
35,35(0)
13,13(0)
12,12(0)
9,9(0)
4,4(0)
31,31(0)
29,29(0)
14,14(0)
54,54(0)
18,21(0)
20,20(0)
18,18(0)
1,58(0)
1,11(0)
8,9(0)
37,41(0)
23,23(0)
13,13(0)
1,34(0)
6,6(0)
34,34(0)
20,20(0)
3,3(0)
63,63(0)
18,18(0)
31,31(0)
80,94(0)
29,29(0)
3,4(0)
31,37(0)
8,18(0)
21,21(0)
62,72(0)
11,11(0)
2,2(0)
3,3(0)
12,12(0)
22,48(0)
1,37(0)
4,4(0)
37,37(0)
33,33(0)
14,14(0)
15,15(0)
31,31(0)
128,128(6)
20,20(31)
28,37(0)
17,17(0)
10,10(0)
25,25(0)
4,106(0)
6,22(3)
21,21(0)
23,23(0)
6,6(0)
26,26(0)
72,72(1)
12,12(0)
23,28(0)
52,52(0)
24,24(0)
14,15(0)
78,78(0)
22,22(0)
13,13(0)
61,61(0)
20,36(0)
5,5(0)
1,7(0)
24,35(0)
9,26(0)
1,85(0)
17,122(1)
72,72(0)
67,67(0)
6,6(0)
27,27(3)
39,39(0)
28,29(0)
1,6(0)
78,78(0)
5,19(0)
4,4(?)
2,2(0)
83,83(0)
77,77(0)
37,37(0)
16,16(0)
28,29(0)
34,34(0)
17,37(0)
45,88(0)
2,10(0)
76,79(0)
3,3(0)
6,6(0)
3,3(0)
52,52(0)
21,35(0)
15,15(0)
3,3(0)
13,13(8)
2,2(0)
59,59(0)
27,34(0)
1,5(0)
14,14(0)
32,119(0)
5,18(1)
6,6(0)
13,14(0)
18,18(0)
23,23(0)
2,2(0)
95,95(0)
111,111(0)
2,7(0)
15,15(0)
5,5(0)
11,11(0)
107,107(0)
1,7(0)
11,11(0)
22,22(0)
31,31(0)
15,16(0)
40,40(0)
12,18(0)
32,32(0)
23,25(0)
15,21(0)
3,3(0)
13,13(0)
45,45(0)
26,26(0)
20,21(0)
130,132(0)
5,5(0)
112,112(0)
81,81(0)
84,84(0)
11,38(0)
94,94(0)
6,6(0)
1,3(0)
9,9(0)
26,26(0)
27,40(0)
81,81(0)
4,8(0)
10,10(0)
15,105(0)
20,32(0)
9,9(0)
12,12(1)
86,86(0)
13,13(0)
4,4(0)
11,34(0)
44,44(0)
32,32(0)
2,10(0)
8,8(0)
28,76(0)
2,19(0)
13,42(0)
3,3(0)
18,18(0)
1,52(0)
11,11(0)
27,27(0)
4,4(0)
18,18(0)
23,37(0)
21,21(0)
26,26(0)
97,97(0)
25,51(0)
24,26(0)
50,50(0)
5,5(3)
33,33(0)
12,12(0)
1,40(0)
1,18(0)
25,25(0)
12,25(0)
5,6(0)
6,45(7)
3,3(0)
1,2(0)
8,8(0)
14,14(0)
17,17(87)
4,8(0)
7,7(0)
43,43(0)
0,26(1)
27,27(0)
12,54(0)
4,4(0)
4,4(0)
39,39(0)
18,18(0)
10,10(0)
11,11(0)
67,67(0)
12,12(0)
37,50(0)
55,55(0)
34,34(0)
29,29(0)
101,101(0)
20,20(0)
19,20(0)
31,31(0)
38,47(0)
15,18(0)
7,43(0)
23,23(0)
32,32(0)
6,12(0)
6,6(0)
63,63(0)
10,10(0)
20,20(1)
1,2(0)
